$	~[,SI^F][,DOL^R]
Ⅹ	~[,X^11][,J]
Ⅺ	~[,JE^V]
Ⅻ	~[,JR]
ⅰ	~[,E^8]
ⅱ	~[,R^8]
ⅲ	~[,S^7]
ⅳ	~[,F^F]
ⅴ	~[,W^5]
ⅵ	~[,L^8]
ⅶ	~[,C^S]
ⅷ	~[,B^5]
ⅸ	~[V[^V][,K^F]
ⅹ	~[,J^5][V]^V]
ⅺ	~[,JE^R]
ⅻ	~[,JR^V]
ↀ	~[,OI^R]
ↁ	~[,DC^V]
ↂ	~[,OCI][,OCJ][,OIO][,OOI]
←	~[,Z^F][,ZE]
↑	~[,Z^R][,ZI]
→	~[,Z^S][,EZ]
↓	~[,Z^V][,IZ]
↔	~[,ZEZ]
↖	~[,Z^8][,ZN]
↗	~[,Z^7][,ZP]
↘	~[,Z^5][,NZ]
↙	~[,Z^6][,PZ]
↚	~[,ZX]
↛	~[,XZ]
↜	~[,ZS]
↝	~[,SZ]
↞	~[,ZZE]
↟	~[,ZZI]
↠	~[,EZZ]
↡	~[,IZZ]
↢	~[,ZEZ^V]
↣	~[,ZEZ^R]
↤	~[,ZEI]
↥	~[,ZL^V][,ZIE]
↦	~[,IEZ]
↧	~[,TZ^V]
↨	~[,ZIZ]
↩	~[,ZL^R]
↪	~[,LZ]
↫	~[,ZJ]
↬	~[,JZ]
↭	~[,ZSZ][,ZWZ]
↮	~[,ZXZ]
↯	~[,UZ][,NZ^V][,ZZ^R]
∀	~[,A^S][,ALL]
∃	~[,E^12][,XX^5]
∅	~[,OP^S][,SET]
∆	~[,SN^10]
∈	~[,E^13]
∉	~[,EI^R][,EP^V]
∏	~[,ER^R][,PRO]
∑	~[,E^14][,SUM]
∓	~[,EJ]
∕	~[,P^R]
√	~[,V^9][,TO][,VE]
∝	~[,OF^8]
∞	~[,B^6][,OO^R][,VBD]
∟	~[,L^5]
∠	~[,L^F][,V^R][,LL]
∣	~[,I^V]
∤	~[,XX^6][,IP][,IPX]
∥	~[,PP^R][,SS^S]
∧	~[,V^6][[V^8][,[V^7]
∨	~[,V^7][]V^8][,]V^6][,GGV^6]
∩	~[,N^R][,CAP][,HAT]
∪	~[,U^R][,CUP]
∫	~[,S^12]
∮	~[,SO^V][,CON]
∴	~[,FU][...^R][,...^V]
∵	~[,OB^7][,OE^8][...^V][,...]
∶	~[..^10][,..^S][,RAT]
∷	~[,FA^S]
∼	~[,S^9]
∽	~[,S^13]
≅	~[,SR^S]
≈	~[,RS^S][,SS^R]
≌	~[,SR^F]
≑	~[,.R.^V]
≒	~[,.R.]
≠	~[,Q^7][,PR][,QX][,RP][,RPX]
≡	~[,S^5][,SE]
≤	~[,LR^S][,VE^V][,VR^R]
≥	~[,LR^F][,VR^S]
≦	~[,LR][,VR][,BR^V]
≧	~[,BR][,LR^V][,VR^V]
≮	~[,SI^5][,VI^V]
≯	~[,DI][,VI^R]
⊕	~[,OJ^6]
⊙	~[,O.]
⊥	~[,LE^V]
⊿	~[,SN^F]
⌒	~[,N^6]
①	~[,E^16][,OE]
②	~[,R^11][,OR]
③	~[,S^11][,OS]
④	~[,F^7][,OF]
⑤	~[,W^7][,OW]
⑥	~[,L^10][,OL]
⑦	~[,C^5][,OC]
⑧	~[,B^8][,OB]
⑨	~[,K^6][,OK]
⑩	~[,J^17][,OJ][,OEO]
⑪	~[,OEE][,OJE]
⑫	~[,OER][,OJR]
⑬	~[,OES][,OJS]
⑭	~[,OEF][,OJF]
⑮	~[,OEW][,OJW]
⑯	~[,OEL][,OJL]
⑰	~[,OEC][,OJC]
⑱	~[,OEB][,OJB]
⑲	~[,OEK][,OJK]
⑳	~[,ORJ][,ORO]
⑴	~[,E^15][,GE]
⑵	~[,R^10][,GR]
⑶	~[,S^10][,GS]
⑷	~[,F^6][,GF]
⑸	~[,W^6][,GW]
⑹	~[,L^9][,GL]
⑺	~[,C^F][,GC]
⑻	~[,B^7][,GB]
⑼	~[,K^5][,GK]
⑽	~[,J^16][,GJ][,GEO]
⑾	~[,GEE][,GJE]
⑿	~[,GER][,GJR]
⒀	~[,GES][,GJS]
⒁	~[,GEF][,GJF]
⒂	~[,GEW][,GJW]
⒃	~[,GEL][,GJL]
⒄	~[,GEC][,GJC]
⒅	~[,GEB][,GJB]
⒆	~[,GEK][,GJK]
⒇	~[,GRJ][,GRO]
⒈	~[,E.]
⒉	~[,R.]
⒊	~[,S.]
⒋	~[,F.]
⒌	~[,W.]
⒍	~[,L.]
⒎	~[,C.]
⒏	~[,B.]
⒐	~[,K.]
⒑	~[,J.][,EO.]
⒒	~[,EE.][,JE.]
⒓	~[,ER.][,JR.]
⒔	~[,ES.][,JS.]
⒕	~[,EF.][,JF.]
⒖	~[,EW.][,JW.]
⒗	~[,EL.][,JL.]
⒘	~[,EC.][,JC.]
⒙	~[,EB.][,JB.]
⒚	~[,EK.][,JK.]
⒛	~[,RJ.][,RO.]
⒜	~[,GA]
⒝	~[,GB^R]
⒞	~[,GC^R]
⒟	~[,GD]
⒠	~[,GE^R]
⒡	~[,GF^R]
⒢	~[,GG^V]
⒣	~[,GH]
⒤	~[,GI]
⒥	~[,GJ^R]
⒦	~[,GK^R]
⒧	~[,GL^R]
⒨	~[,GM]
⒩	~[,GN]
⒪	~[,GO^V]
⒫	~[,GP]
⒬	~[,GQ]
⒭	~[,GR^R]
⒮	~[,GS^R]
⒯	~[,GT]
⒰	~[,GU]
⒱	~[,GV^7]
⒲	~[,GW^R]
⒳	~[,GX]
⒴	~[,GY]
⒵	~[,GZ]
Ⓐ	~[,OA^R]
Ⓑ	~[,OB^5]
Ⓒ	~[,OC^6]
Ⓓ	~[,OD]
Ⓔ	~[,OE^6]
Ⓕ	~[,OF^6]
Ⓖ	~[,OG]
Ⓗ	~[,OH]
Ⓘ	~[,OI]
Ⓙ	~[,OJ^7]
Ⓚ	~[,OK^5]
Ⓛ	~[,OL^5]
Ⓜ	~[,OM]
Ⓝ	~[,ON]
Ⓞ	~[,OO^F]
Ⓟ	~[,OP^V]
Ⓠ	~[,OQ]
Ⓡ	~[,OR^5]
Ⓢ	~[,OS^5]
Ⓣ	~[,OT]
Ⓤ	~[,OU^V]
Ⓥ	~[,OV]
Ⓦ	~[,OW^5]
Ⓧ	~[,OX]
Ⓨ	~[,OY]
Ⓩ	~[,OZ]
ⓐ	~[,OA^S]
ⓑ	~[,OB^6]
ⓒ	~[,OC^7]
ⓓ	~[,OD^V]
ⓔ	~[,OE^7]
ⓕ	~[,OF^7]
ⓖ	~[,OG^V]
ⓗ	~[,OH^V]
ⓘ	~[,OI^V]
ⓙ	~[,OJ^8]
ⓚ	~[,OK^6]
ⓛ	~[,OL^6]
ⓜ	~[,OM^V]
ⓝ	~[,ON^V]
ⓞ	~[,OO^5]
ⓟ	~[,OP^R]
ⓠ	~[.OQ]
ⓡ	~[,OR^6]
ⓢ	~[,OS^6]
ⓣ	~[,OT^V]
ⓤ	~[,OU^R]
ⓥ	~[,OV^V]
ⓦ	~[,OW^6]
ⓧ	~[,OX^V]
ⓨ	~[,OY^V]
ⓩ	~[,OZ^V]
⓪	~[,OO]
─	~[EE,][,E^17][,EE^S]
━	~[,E^18][..^9]
│	~[,I^6]
┃	~[,I^7]
┄	~[,...^6][,EEE^S]
┅	~[,...^7][,EEE^F]
┆	~[,...^R]
┇	~[,...^S]
┈	~[,EEE^5][,...^8]
┉	~[,EEE^6][,...^9]
┊	~[,...^F]
┋	~[,...^5]
┕	~[,L^11]
┬	~[,T^V]
═	~[,R^7]
╡	~[,RI]
╪	~[,Q^6]
╭	~[,Q^R]
╮	~[,Q^S]
╯	~[,Q^5]
╰	~[,Q^F]
╱	~[,P^S]
╳	~[,X^S]
▂	~[,FN^8]
▃	~[,EF]
▄	~[,EF^V]
▅	~[,FN^7]
▆	~[,FN^6]
▇	~[,FN^5]
█	~[,FN^F]
▉	~[,EF^8]
▊	~[,EF^7]
▋	~[,EF^6]
▌	~[,EF^5]
▍	~[,EF^F]
▎	~[,EF^S]
▏	~[,EF^R]
■	~[,FN^V]
□	~[OO^V][,FN][,OO^V]
▲	~[,SN^R]
△	~[,SN]
▼	~[,SN^S]
▽	~[,SN^V]
◆	~[,FN^S]
◇	~[,FN^R]
○	~[O][,O^R]
◎	~[,OO^S]
●	~[,O^V]
◢	~[,SN^9]
◣	~[,SN^7]
◤	~[,SN^8]
◥	~[,SN^6]
☀	~[,BS^R][,DB^S][,DO^S][,SUN^R]
☄	~[,OS^8][,WD][,COM]
★	~[,DS^R][,STA][,DSE^V]
☆	~[,DS^V][,DSE][,STA^V]
☉	~[,BS^V][,DB^R][,DO^R][,SUN^V]
☎	~[,UI][,TEL^V]
☏	~[,UI^V][,TEL^R]
☚	~[,HJ][,PX^S][,XI^R]
☛	~[,XO][,HJ^V][,PX^F]
☜	~[,PX^5][,HJ^R][,XI^S]
☝	~[,FE^V][,HJ^S][,PF^V]
☞	~[,PX^6][,HJ^F][,XO^V]
☟	~[,HJ^5][,FA^V][,PF^R]
☩	~[,J^15][,JJ^11][,CRO^8][,JND^8]
☮	~[,OS^7][,HP][,PEA]
☯	~[,BB][,BY][,DT][,YY][,OBB][,ODU][,OSA][,OSB][,OS.][,OYY][,YIN]
☰	~[,BY^V][,HEA][,EEE^R]
☱	~[,BY^R][,LAK][,REE]
☲	~[,BY^S][,ERE][,FIR]
☳	~[,BY^F][,RRE][,THU]
☴	~[,BY^5][,EER][,WIN]
☵	~[,BY^6][,RER][,WAT]
☶	~[,BY^7][,ERR][,MOU]
☷	~[,BY^8][,EAR][,RRR]
☹	~[,OU^S][,FAC][,OBN][,OOA][,OOD][,UAB][,UAO]
☺	~[,ZU][,OBU][,ZED][,ZGN][,FAC^V][,UAB^V][,UAO^V]
☻	~[,ZU^V][,FAC^R][,OBU^V][,UAB^R][,UAO^R][,ZED^V][,ZGN^V]
☼	~[,BS][,DB^V][,DO^V][,SUN]
☽	~[,UE][,UL^V][,FQU][,MOO]
☾	~[,UE^V][,UL^R][,FQU^V][,MOO^V]
♀	~[,F^S][,W^F][,OJ^5][,WO]
♂	~[,M^R][,SO][,ZO]
♔	~[,KIN]
♕	~[,QUE]
♖	~[,ROO]
♗	~[,BIS]
♘	~[,KNI]
♙	~[,PAW]
♚	~[,KIN^V]
♛	~[,QUE^V]
♜	~[,ROO^V]
♝	~[,BIS^V]
♞	~[,KNI^V]
♟	~[,PAW^V]
♠	~[,QT][,SPA]
♡	~[,EH^R][,HA^V][,HH^V][,SH^R][,HEA^R][,LOV^V]
♢	~[,AL][,FY^V][,DIA]
♣	~[,SR][,TR][,CLU]
♤	~[,ST][,SPA^V]
